Setting,Average_h,Max_h,Min_h,Stdev_h,Final_h,Original_h,New_h,Avg_c,Max_c,Min_c,Stdev_c
CapNoEQ30mat1mut,69.8,75,63,3.9384147967311813,55,69.8,0.0,2.272,7,1,0.3264897480098809
CapNoEQ30mat2mut,70.5,88,58,9.629237883769527,55,43.8,26.7,2.724,8,1,0.4771955108292152
CapNoEQ30mat3mut,75.6,85,52,10.647900158142814,55,28.6,47.0,2.592,7,1,0.19668361508891488
CapNoEQ30mat4mut,82.2,109,60,16.52472894381831,55,24.2,58.0,2.644,7,1,0.2622636502114279
CapNoEQ30mat5mut,87.1,114,62,16.555965692160637,55,17.2,69.9,2.448,8,1,0.41389209543873473
NoCapEQ5mat1mut,53.8,62,44,6.62989860824097,55,27,26.8,3.404,8,1,0.3889358701779911
NoCapEQ5mat2mut,51.5,59,41,5.892556509887896,55,24.8,26.7,3.324,12,1,0.41545691045455535
NoCapEQ5mat3mut,55.2,64,43,5.750362307426087,55,23.8,31.4,3.616,10,1,0.23339046919510464
NoCapEQ5mat4mut,54.9,67,43,6.6907896893167,55,20.3,34.6,3.456,10,1,0.3951708491273111
NoCapEQ5mat5mut,55.2,76,42,10.881176406988354,55,21.2,34.0,3.512,11,1,0.8032821560461942
NoCapEQ10mat1mut,31.0,36,20,4.570436400267363,55,13.9,17.1,2.276,7,1,0.23205363364724307
NoCapEQ10mat2mut,33.7,42,26,4.967673276069772,55,13.1,20.6,2.364,7,1,0.25539511872129955
NoCapEQ10mat3mut,31.2,44,26,5.553777493242275,55,11.6,19.6,2.304,6,1,0.31280807037045716
NoCapEQ10mat4mut,27.2,36,20,4.391911757866827,55,11.1,16.1,2.088,7,1,0.2611427876766953
NoCapEQ10mat5mut,29.6,46,21,7.026932316294058,55,11.2,18.4,2.276,8,1,0.3060573657194205
NoCapEQ15mat1mut,21.2,26,19,2.043961295567452,55,9.6,11.6,1.956,4,1,0.09512564790259723
NoCapEQ15mat2mut,24.0,33,18,4.737556801183965,55,10.7,13.3,2.024,5,1,0.1970448341537191
NoCapEQ15mat3mut,20.8,27,16,3.2591750830880843,55,8.2,12.6,1.84,5,1,0.19136933459209765
NoCapEQ15mat4mut,19.1,26,14,4.332051092342595,55,6.6,12.5,1.812,4,1,0.18766400234935252
NoCapEQ15mat5mut,21.5,28,13,4.766783215358364,55,7.2,14.3,1.8639999999999999,4,1,0.14009520572334608
NoCapEQ20mat1mut,17.1,23,10,4.2282121254470875,55,8.6,8.5,1.86,5,1,0.17204650534085256
NoCapEQ20mat2mut,17.7,25,10,5.078276172963507,55,8.8,8.9,1.84,6,1,0.20396078054371145
NoCapEQ20mat3mut,16.7,20,12,2.5841396591085743,55,6.8,9.9,1.764,4,1,0.13125039682479694
NoCapEQ20mat4mut,15.4,22,9,3.596294389136314,55,5.7,9.7,1.752,6,1,0.23611673195923902
NoCapEQ20mat5mut,15.2,19,13,1.8135294011647258,55,5.6,9.6,1.68,4,1,0.09428090415820634
NoCapEQ25mat1mut,15.8,20,11,2.485513584307633,55,8,7.8,1.72,4,1,0.08844332774281063
NoCapEQ25mat2mut,15.3,19,12,2.5841396591085743,55,7.4,7.9,1.756,4,1,0.21035419864811084
NoCapEQ25mat3mut,14.3,21,10,3.3681514877517675,55,6.4,7.9,1.732,4,1,0.19234228748654192
NoCapEQ25mat4mut,14.9,18,12,2.5144029554194813,55,5.8,9.1,1.748,4,1,0.19048476171191345
NoCapEQ25mat5mut,11.9,15,10,1.66332999331662,55,5.9,6.0,1.616,4,1,0.16242605155030462
NoCapEQ30mat1mut,14.4,20,9,3.40587727318528,55,8.6,5.8,1.736,4,1,0.2184389057735722
NoCapEQ30mat2mut,14.0,18,10,2.943920288775949,55,7.3,6.7,1.808,4,1,0.21064978835340267
NoCapEQ30mat3mut,14.1,17,9,2.5582111805799856,55,6.5,7.6,1.716,4,1,0.164870319409596
NoCapEQ30mat4mut,13.6,16,10,1.8973665961010275,55,5.7,7.9,1.648,3,1,0.16631963871480185
NoCapEQ30mat5mut,11.4,14,8,1.7126976771553504,55,4.9,6.5,1.608,3,1,0.1330663994653296
NoCapNoEQ5mat1mut,213.7,241,196,13.433374689762642,55,101.8,111.9,14.708,25,6,1.6626672012829926
NoCapNoEQ5mat2mut,168.1,192,143,16.576087194107863,55,75.2,92.9,8.612,19,3,0.42835084270308654
NoCapNoEQ5mat3mut,145.8,156,132,7.871185143010902,55,58.3,87.5,7.62,17,2,0.3583914681524163
NoCapNoEQ5mat4mut,129.4,144,121,7.834397090892048,55,49.4,80.0,6.96,19,2,0.6127533489640562
NoCapNoEQ5mat5mut,118.7,135,105,8.60297106301719,55,45,73.7,6.436,22,1,0.5047155414466429
NoCapNoEQ10mat1mut,219.6,243,203,13.721030087667131,55,90.4,129.2,13.368,23,6,0.9079990210469513
NoCapNoEQ10mat2mut,157.4,179,140,13.712929827153804,55,62.3,95.1,7.648,21,2,0.9616282487993417
NoCapNoEQ10mat3mut,116.2,127,104,6.941021378570864,55,42.5,73.7,5.936,14,1,0.3452277830972215
NoCapNoEQ10mat4mut,106.5,127,82,12.756262078768303,55,37.3,69.2,5.824,18,1,0.36960038480018453
NoCapNoEQ10mat5mut,71.4,91,57,11.00706843603489,55,21.6,49.8,4.324,12,1,0.35849066313581385
NoCapNoEQ15mat1mut,232.9,250,216,9.915756260730808,55,88.6,144.3,13.192,27,4,0.793932546812945
NoCapNoEQ15mat2mut,141.6,172,110,16.249444434947442,55,57.2,84.4,6.708,18,1,0.5612842417171535
NoCapNoEQ15mat3mut,96.4,114,69,13.091133555875816,55,32.8,63.6,4.9719999999999995,14,1,0.6234099774626646
NoCapNoEQ15mat4mut,67.8,91,49,11.621818561080131,55,17.1,50.7,4.12,12,1,0.4840569296179026
NoCapNoEQ15mat5mut,59.1,71,46,8.45182426067493,55,13.5,45.6,3.464,8,1,0.3533710671675188
NoCapNoEQ20mat1mut,238.6,250,223,10.77239269820983,55,85.1,153.5,12.756,26,4,1.0387085999237495
NoCapNoEQ20mat2mut,130.4,158,110,14.492910144082328,55,46.1,84.3,6.228,15,1,0.40267991148195015
NoCapNoEQ20mat3mut,87.2,102,70,10.840254199561517,55,29.4,57.8,4.516,14,1,0.4753291257410782
NoCapNoEQ20mat4mut,49.9,64,36,8.412292592787454,55,11.1,38.8,3.372,8,1,0.41356982481801063
NoCapNoEQ20mat5mut,47.9,59,37,7.294594650226365,55,8.5,39.4,3.084,9,1,0.32191096077435244
NoCapNoEQ25mat1mut,219.6,234,199,10.606077922063786,55,77.5,142.1,11.452,26,4,0.9285687912050458
NoCapNoEQ25mat2mut,118.5,137,98,10.25508004194344,55,42.2,76.3,5.424,15,1,0.3518585574409757
NoCapNoEQ25mat3mut,72.8,93,53,13.053735097664577,55,22.9,49.9,3.864,11,1,0.4646432323119895
NoCapNoEQ25mat4mut,49.7,68,36,10.594023472379762,55,12.5,37.2,3.076,7,1,0.41759097478540197
NoCapNoEQ25mat5mut,37.3,52,23,8.743886753358346,55,8.6,28.7,2.688,9,1,0.36014811767752813
NoCapNoEQ30mat1mut,221.1,245,199,14.425671561490647,55,76.6,144.5,10.868,22,2,0.8643147574813238
NoCapNoEQ30mat2mut,110.6,131,99,10.875047892614848,55,38.4,72.2,5.016,13,1,0.17506824066314525
NoCapNoEQ30mat3mut,61.8,74,54,7.0206045956804095,55,16.3,45.5,3.472,10,1,0.28208745688763504
NoCapNoEQ30mat4mut,40.4,53,26,8.82169044017201,55,8.7,31.7,2.86,8,1,0.4187813006543843
NoCapNoEQ30mat5mut,29.6,36,11,7.47142705393168,55,7,22.6,2.24,6,1,0.32441400161590506
