24500,6.4,3.6
24600,6.4,3.6
24700,6.4,3.6
24800,6.4,3.6
24900,6.4,3.6
25000,6.4,3.6
400,27.55,3.8
700,23.0,4.0
800,22.85,3.8
1100,21.8,4.0
1800,17.55,4.0
2200,15.05,4.0
2300,15.05,4.0
2700,15.05,4.0
2800,15.05,4.0
3300,15.05,4.0
3600,15.05,4.0
3900,15.05,4.0
4300,15.05,4.0
5000,15.05,4.0
5400,13.65,4.0
5700,13.65,4.0
5800,13.65,4.0
6200,13.65,4.0
6400,12.75,4.0
6500,12.75,4.0
7000,12.75,4.0
7400,12.15,4.0
7500,12.15,4.0
8000,12.15,4.0
8200,12.15,4.0
8300,12.15,4.0
8400,12.15,4.0
8900,12.15,4.0
11100,11.7,3.8
11200,11.7,3.8
13000,10.05,3.8
13800,10.05,3.8
14100,10.05,3.8
14200,10.05,3.8
16000,10.05,3.8
16100,10.05,3.8
16600,10.05,3.8
17900,10.05,3.8
18600,10.05,3.8
19400,10.05,3.8
19500,10.05,3.8
19600,10.05,3.8
19800,10.05,3.8
20200,10.05,3.8
20300,10.05,3.8
20600,10.05,3.8
20700,10.05,3.8
21200,10.05,3.8
21300,10.05,3.8
22300,10.05,3.8
22900,10.05,3.8
23100,10.05,3.8
25300,10.0,3.8
27000,10.0,3.8
28200,10.0,3.8
28400,10.0,3.8
28600,10.0,3.8
29000,10.0,3.8
29600,10.0,3.8
29800,10.0,3.8
30200,10.0,3.8
30800,10.0,3.8
30900,10.0,3.8
32900,10.0,3.8
33400,10.0,3.8
34100,10.0,3.8
35800,10.0,3.8
36200,10.0,3.8
37000,9.45,4.0
37200,9.45,4.0
37700,8.75,4.0
37800,8.75,4.0
38600,8.75,4.0
40000,8.75,4.0
41700,8.75,4.0
42100,8.75,4.0
42300,8.75,4.0
42900,8.75,4.0
43100,8.75,4.0
44800,8.75,4.0
46200,8.75,4.0
47300,8.15,4.0
47400,8.15,4.0
47500,8.15,4.0
48300,8.15,4.0
48500,8.15,4.0
50800,8.1,4.0
50900,8.1,4.0
51300,8.1,4.0
51400,8.1,4.0
52100,8.1,4.0
52500,8.1,4.0
52900,8.1,4.0
54400,8.1,4.0
55000,8.1,4.0
55500,8.1,4.0
55800,8.1,4.0
56200,8.1,4.0
56400,8.1,4.0
56600,8.1,4.0
57300,8.1,4.0
57600,8.1,4.0
58000,8.1,4.0
58500,8.1,4.0
58900,8.1,4.0
59100,8.1,4.0
60500,8.1,4.0
61400,8.1,4.0
61800,8.1,4.0
62300,8.1,4.0
62400,8.1,4.0
62500,8.1,4.0
62600,8.1,4.0
62900,8.1,4.0
65600,8.1,4.0
65700,8.1,4.0
66400,8.1,4.0
66700,8.1,4.0
67400,8.1,4.0
67900,8.1,4.0
68500,8.1,4.0
68700,8.1,4.0
69200,8.1,4.0
69300,8.1,4.0
70900,7.15,3.8
72900,7.15,3.8
73100,7.15,3.8
74000,7.15,3.8
74300,7.15,3.8
74700,7.15,3.8
74800,7.15,3.8
75800,7.15,3.8
76700,7.15,3.8
76800,7.15,3.8
76900,7.15,3.8
77000,7.15,3.8
77700,7.15,3.8
78100,7.15,3.8
78300,7.15,3.8
78800,7.15,3.8
79200,7.15,3.8
79500,6.6,3.8
79900,6.6,3.8
80200,6.6,3.8
80700,6.6,3.8
80900,6.6,3.8
81100,6.6,3.8
81200,6.6,3.8
81600,6.6,3.8
81700,6.6,3.8
82100,6.6,3.8
82300,6.6,3.8
83100,6.6,3.8
83500,6.6,3.8
85000,6.15,3.6
85700,5.95,3.8
86300,5.95,3.8
86700,5.95,3.8
86800,5.95,3.8
87100,5.95,3.8
87300,5.95,3.8
87400,5.95,3.8
88000,5.95,3.8
88100,5.95,3.8
88500,5.95,3.8
89100,5.95,3.8
89300,5.95,3.8
90100,5.95,3.8
90300,5.95,3.8
90600,5.95,3.8
90700,5.95,3.8
90900,5.95,3.8
91900,5.95,3.8
92100,5.95,3.8
92600,5.95,3.8
92900,5.95,3.8
93900,5.95,3.8
94400,5.95,3.8
94700,5.95,3.8
95000,5.95,3.8
95500,5.95,3.8
97100,5.95,3.8
97500,5.95,3.8
97900,5.95,3.8
99300,5.95,3.8
100500,5.95,3.8
100900,5.95,3.8
101500,5.95,3.8
101900,5.95,3.8
102200,5.95,3.8
103200,5.95,3.8
103300,5.95,3.8
104200,5.95,3.8
104300,5.95,3.8
104600,5.95,3.8
104900,5.95,3.8
105600,5.75,3.8
105700,5.75,3.8
106000,5.75,3.8
107000,5.75,3.8
107900,5.75,3.8
108700,5.75,3.8
108900,5.75,3.8
110000,5.75,3.8
110200,5.75,3.8
110400,5.75,3.8
111300,5.75,3.8
111600,5.75,3.8
112000,5.75,3.8
112800,5.75,3.8
112900,5.75,3.8
113000,5.75,3.8
113300,5.75,3.8
113500,5.75,3.8
113700,5.75,3.8
113900,5.75,3.8
114400,5.75,3.8
116100,5.75,3.8
116400,5.75,3.8
116900,5.75,3.8
117000,5.75,3.8
117500,5.75,3.8
118800,5.75,3.8
119600,5.75,3.8
119700,5.75,3.8
119800,5.75,3.8
119900,5.75,3.8
120000,5.75,3.8
120900,5.75,3.8
121200,5.75,3.8
